Hotel_ID,Hotel_Name,City,State,Room_Type,Total_Rooms,Occupied_Rooms,Room_Price,Customer_Rating,Restaurant_Revenue,Spa_Revenue,Check_In_Count,Check_Out_Count,Manager_Name,Record_Date
HOT0058,"Owens, Koch and Jimenez",South Williambury,Indiana,Suite,24,240,9622,4.8,187631,76643,90,47,Amber Campbell,2026-01-13
HOT0059,"Chambers, Mitchell and Smith",South Dennisview,Washington,Executive,196,160,6901,4.1,121230,95480,138,243,Jamie Williams,2025-06-27
HOT0060,"Lee, Tran and Jones",Duranview,South Carolina,Suite,121,108,9916,2.8,109972,79963,193,161,Barbara Hester,2025-10-31
HOT0061,Grant-Diaz,East Carrie,Montana,Suite,31,222,12784,3.5,12122,79177,35,264,Amber Taylor,2025-10-08
HOT0062,Stone-Hernandez,West Sarah,Massachusetts,Suite,137,165,7772,3.0,59841,86381,138,80,William Stevenson,2025-09-26
HOT0063,Romero-Hicks,Ericksonport,New Mexico,Standard,40,89,14920,3.6,161931,52823,77,56,Isabella Nunez,2026-06-02
HOT0064,"Parker, Roach and Wiggins",New Thomasshire,Oregon,Suite,187,201,8807,2.9,44644,75701,197,281,Anthony Castillo,2025-12-17
HOT0065,"Harvey, Randall and Hernandez",North Ashley,Vermont,Family,159,222,4695,3.1,136313,43684,183,68,Albert Edwards,2025-08-03
HOT0066,"Harris, Shaw and Carr",Salaston,Virginia,Executive,58,46,14356,4.9,187294,99924,213,295,Daniel Nguyen,2026-02-06
HOT0067,"Bennett, Frye and Stevens",Amyview,South Carolina,Suite,66,212,8464,2.5,150659,21199,242,198,Dr. Douglas Evans,2026-05-19
HOT0068,Wise-Bush,Stewartstad,Oklahoma,Suite,215,220,12461,4.9,38402,93452,129,251,Rebecca Hill,2025-07-23
HOT0069,"Daniels, Huang and Foster",Stephanieberg,Maine,Standard,187,244,11995,3.1,26571,88283,247,164,Tyler Miller,2026-05-13
HOT0070,"Scott, Mendoza and Harris",Sarahview,Florida,Executive,79,45,2742,4.9,89787,69569,69,59,Patrick Allen,2025-06-27
HOT0071,"Perez, Hall and Garcia",Jenniferville,Utah,Deluxe,295,44,8367,3.6,185763,96289,286,224,Abigail Pierce,2026-05-15
HOT0072,Delgado-Gilmore,Woodsborough,Wisconsin,Family,99,236,8797,4.1,138279,85694,218,153,Erica Brewer,2026-05-07
HOT0073,Pearson and Sons,East Robertburgh,Arizona,Standard,209,65,9264,3.6,71895,52537,60,198,Jennifer Simpson DVM,2026-05-27
HOT0074,Mcdowell-Smith,West Justinside,North Dakota,Family,203,25,8523,3.2,42023,64600,56,118,Todd Rosales MD,2025-08-18
HOT0075,Rivera Ltd,Wongburgh,Alabama,Family,30,22,14890,3.3,43010,79000,115,45,Rachel Bradley,2026-03-13
HOT0076,Carr Ltd,Wilcoxhaven,Massachusetts,Family,126,160,5538,4.5,71079,48064,85,11,Michael Lopez,2025-07-30
HOT0077,Boyle-Smith,Youngview,Michigan,Suite,94,43,10850,3.1,55743,19408,23,77,Nathan Smith,2026-02-03
HOT0078,"Young, Contreras and Marshall",South Gina,Virginia,Standard,203,212,14917,3.1,94874,7068,99,145,Melissa Fowler,2026-05-19
HOT0079,Mendez-Robinson,South Eric,West Virginia,Standard,84,199,8897,3.8,26661,67422,239,195,Jacqueline Miles DVM,2026-03-13
HOT0080,"Petersen, Gill and Becker",New Seanstad,California,Family,75,125,10254,3.1,171246,10683,276,164,Ashley Poole,2026-05-05
HOT0081,Armstrong and Sons,West Melissa,New Hampshire,Executive,35,25,9847,4.6,121745,94928,65,261,Daniel Aguilar,2025-07-12
HOT0082,"Griffin, Brown and Anderson",Bryantton,Oklahoma,Executive,57,240,3323,3.3,48884,13609,74,150,Robert Cummings,2025-10-31
HOT0083,Reese PLC,North Rodneyland,Ohio,Family,300,192,7327,3.5,166602,74541,160,242,Taylor Jones DVM,2025-06-20
HOT0084,White-Taylor,Brooksfurt,New Hampshire,Family,240,35,14994,4.3,181629,90316,292,120,Susan Bennett,2026-02-13
HOT0085,"Baxter, Anderson and Dalton",East Victoriafurt,North Dakota,Executive,251,237,5743,3.5,128882,57262,222,58,William Davenport,2026-03-12
HOT0086,Ford-Ball,Patelbury,Kansas,Suite,238,90,12897,3.1,50013,95023,252,44,Christopher Lopez,2026-04-25
HOT0087,Johnson Ltd,Mendeztown,Kansas,Standard,63,33,9075,2.7,107687,22054,294,40,Brian Johnson,2026-01-13
HOT0088,"Brennan, Sanchez and Williams",Youngborough,Wisconsin,Family,188,181,4002,3.5,184415,60435,36,157,Amy Gordon,2025-09-22
HOT0089,"Johnston, Ray and Barton",Joelberg,Texas,Family,179,100,3697,3.9,65768,25280,256,124,Jennifer Hill,2025-12-29
HOT0090,"Hobbs, Buck and Garrett",Peterston,Minnesota,Standard,199,226,11113,3.4,83024,80248,125,229,Megan Floyd,2025-10-03
HOT0091,Russell-Evans,Port Amanda,Kansas,Family,33,165,12777,4.6,80109,8794,102,149,Elizabeth Zimmerman,2026-03-30
HOT0092,Hart Group,South John,Indiana,Suite,193,99,2100,3.0,47552,79228,215,45,Bob Cole,2025-10-22
HOT0093,"Hardy, Lee and Adams",Port Charlesshire,Washington,Deluxe,35,33,14224,3.8,108617,60028,242,184,Claire Clark,2026-05-06
HOT0094,Krueger-Smith,Lake David,Wisconsin,Deluxe,209,89,13822,3.3,158791,83148,53,36,David Munoz,2025-08-22
HOT0095,Arnold LLC,Owensstad,Maryland,Deluxe,100,203,12122,2.6,31386,40665,236,227,Jose Crawford,2025-07-15
HOT0096,"Harrison, Franco and Rocha",Lawrenceton,Oregon,Executive,246,116,6475,3.0,144308,19918,186,230,Natalie Smith,2025-12-28
HOT0097,"Riley, Butler and Hernandez",Jerryshire,Kansas,Standard,165,183,13116,4.0,148132,92442,167,33,Mr. Michael Scott PhD,2026-05-28
HOT0098,"Singh, Murray and Oconnor",Garyside,New York,Deluxe,222,163,2897,2.5,89015,32686,80,140,Steve Mooney,2026-05-25
HOT0099,"Johnson, Bradford and Landry",Port Adamberg,South Dakota,Suite,187,40,2126,3.7,122893,28028,76,204,Michael Smith,2025-12-11
HOT0100,Brown-Little,Hopkinstown,Alabama,Family,137,138,11154,4.6,102842,14447,213,31,Jennifer Smith,2026-02-28
